Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,11:56:31.482291,-0.66, 0.33, 9.87,4.31, -1.48, 2.41
4/7/2020,11:56:36.551799,-0.66, 0.31, 9.86,4.37, -1.36, 2.52
4/7/2020,11:56:41.618949,-0.65, 0.32, 9.85,4.38, -1.12, 2.56
4/7/2020,11:56:46.689844,-0.66, 0.32, 9.86,4.30, -1.28, 2.60
4/7/2020,11:56:51.755017,-0.65, 0.33, 9.84,4.27, -1.36, 2.44
4/7/2020,11:56:56.826756,-0.65, 0.30, 9.86,4.32, -1.23, 2.52
4/7/2020,11:57:01.890127,-0.66, 0.32, 9.85,4.24, -1.08, 2.64
4/7/2020,11:57:06.961342,-0.65, 0.31, 9.86,4.29, -1.27, 2.52
4/7/2020,11:57:12.027571,-0.66, 0.31, 9.86,4.45, -1.29, 2.44
4/7/2020,11:57:17.098327,-0.66, 0.31, 9.86,4.29, -1.28, 2.53
4/7/2020,11:57:22.164505,-0.67, 0.31, 9.87,4.32, -1.30, 2.55
4/7/2020,11:57:27.235326,-0.65, 0.31, 9.86,4.42, -1.20, 2.51
4/7/2020,11:57:32.302517,-0.66, 0.32, 9.86,4.38, -1.35, 2.53
4/7/2020,11:57:37.380451,-0.66, 0.32, 9.86,4.38, -1.31, 2.59
4/7/2020,11:57:42.452652,-0.67, 0.30, 9.85,4.24, -1.28, 2.58
4/7/2020,11:57:47.531548,-0.67, 0.31, 9.87,4.30, -1.17, 2.43
4/7/2020,11:57:52.607325,-0.65, 0.31, 9.86,4.30, -1.25, 2.53
4/7/2020,11:57:57.688167,-0.64, 0.31, 9.85,4.30, -1.17, 2.48
4/7/2020,11:58:02.762213,-0.66, 0.31, 9.85,4.45, -1.29, 2.48
4/7/2020,11:58:07.840648,-0.66, 0.32, 9.85,4.38, -1.29, 2.56
4/7/2020,11:58:12.912011,-0.65, 0.32, 9.83,4.31, -1.25, 2.57
4/7/2020,11:58:17.990788,-0.65, 0.32, 9.88,4.29, -1.19, 2.57
4/7/2020,11:58:23.062460,-0.66, 0.32, 9.85,4.28, -1.22, 2.66
4/7/2020,11:58:28.140573,-0.67, 0.30, 9.86,4.31, -1.33, 2.49
4/7/2020,11:58:33.211970,-0.66, 0.30, 9.86,4.42, -1.57, 2.38
4/7/2020,11:58:38.290352,-0.65, 0.31, 9.84,4.34, -1.27, 2.41
4/7/2020,11:58:43.362645,-0.64, 0.32, 9.88,4.29, -1.36, 2.48
4/7/2020,11:58:48.441163,-0.66, 0.31, 9.86,4.38, -1.28, 2.42
4/7/2020,11:58:53.512674,-0.64, 0.32, 9.85,4.45, -1.36, 2.49
